INSERT INTO GUEST_ROOM VALUES(1, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(2, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(3, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(4, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(5, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(6, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(7, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(8, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(9, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(10, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(11, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(12, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(13, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(14, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(15, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(16, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(17, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(18, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(19, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(20, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(21, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(22, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(23, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(24, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(25, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(26, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(27, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(28, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(29, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(30, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(31, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(32, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(33, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(34, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(35, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(36, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(37, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(38, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(39, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(40, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(41, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(42, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(43, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(44, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(45, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(46, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(47, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(48, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(49, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(50, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(51, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(52, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(53, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(54, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(55, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(56, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(57, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(58, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(59, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(60, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(61, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(62, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(63, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(64, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(65, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(66, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(67, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(68, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(69, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(70, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(71, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(72, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(73, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(74, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(75, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(76, 1, 'Full', 1);
